USER_ID,TICKET_ID,CREATED_AT,CONTENT
14,1830,2025-01-01 18:10:27.000,土曜日のチケット（注文番号 #TR789456）の未使用分について返金、または将来のイベントへのクレジットをいただけると助かります。私は3年前からの常連で、御社のプラットフォームを通じて20以上のショーに参加してきました。
29,1462,2025-01-02 02:58:53.000,"あと、ちょっとお知らせです。モバイルアプリで今後のショーの会場マップが正しく読み込まれない不具合があるようです。私が見ている画面のスクリーンショットを添付しました。"
166,177,2025-01-02 05:52:16.000,"ついでにお伝えしますが、新しいモバイルアプリについてフィードバックがあります。ダークモード機能は素晴らしく、電子音楽のカテゴリがより細かいサブジャンルに整理されているのも気に入っています。ただし、決済処理が以前より遅くなっていて、先週は同じチケットに対して2回請求されてしまいました（1回分は最終的に取り消されましたが）。"
57,632,2025-01-02 07:45:44.000,"あと、新しいペーパーレスチケットシステムは全体的によいのですが、最近アプリがとても不安定です。入口でQRコードを読み込むのに時間がかかることがあって、先月のドラムンベースナイトでは後ろに長い列ができている中で入るのに時間がかかりました。"
91,1813,2025-01-02 16:09:49.000,"また、来月のサマーエレクトロニカフェスティバルのチケットを購入しました（注文番号 #EF-2023-8867）が、申し訳ないですがその週末にダブルブッキングしてしまったことに気づきました。返金ポリシーはどうなっていますか？"
149,1320,2025-01-02 18:26:38.000,"また、新しい通知システムについてフィードバックがあります。私は主にインディーロックやオルタナティブミュージックを聴いていますが、カントリーミュージックイベントの通知が大量に届いています。今後のショーについて情報を得られるのはありがたいですが、過去のチケット購入履歴に基づいて通知をもっとパーソナライズしたり、設定で調整できるようになると嬉しいです。"
16,466,2025-01-03 00:14:32.000,延期されたイベントの返金ポリシーについても明確にしていただけますか。FAQセクションでは、この点について記載がありません。
128,603,2025-01-04 02:07:15.000,"提案ですが、お気に入りのジャンルが今後のイベントでフィーチャーされたときに通知が届くシステムがあると素晴らしいです。私は主にプログレッシブハウスとテクノをフォローしていますが、ウェブサイトを定期的にチェックしないため、みたいショーを見逃してしまうことがあります。"
649,1033,2025-01-04 02:38:30.000,"チケットの譲渡について至急サポートをお願いします。姉との予定を確定させる必要があり、時間がありません。"
139,681,2025-01-04 04:57:30.000,"また、夏の音楽シリーズのVIPパスを購入しましたが、確認メールには一般入場と表示されています。各パス20,000円（合計3枚）を支払いましたので、正しく処理されたか確認していただけますか。"
571,1035,2025-01-04 07:17:27.000,"書き直したバージョンです：最近の購入に関する問題についてご連絡させていただきます。購入は3月15日に行い、合計30,000円でした。この取引のチケット参照番号は TIX-2023-89445 です。"
129,1399,2025-01-05 04:15:04.000,"別件ですが、3週間前にキャンセルされたエレクトロニックミュージックフェスティバルの返金処理をしましたが、まだお金が戻ってきていません。確認番号は TXN-2023-89472 です。確認していただけますか？"
65,1310,2025-01-05 18:39:25.000,"先週末、ムーンライトガーデンで開催されたエレクトロニックミュージックフェスティバルに参加し、感想をお伝えしたいと思います。DJ Starweaverのセットは素晴らしかったです（午前1時のベースドロップは最高でした！）が、最初の数アクトでは会場の音響システムにいくつかの問題がありました。最初の2つのパフォーマンス中、左のスピーカースタックからの歪みが目立ちました。"
15,890,2025-01-06 02:25:38.000,"先週末、サマーバイブスフェスティバルに参加しましたが、いくつかの件でサポートが必要です。まず、友人と私のチケットが二重請求されていました（注文番号 #VF-29847 と #VF-29848）。両方の請求が表示されている銀行明細のスクリーンショットを添付しました。"
39,66,2025-01-06 05:45:20.000,"あと、お知らせですが、モバイルアプリに表示されるドリンク価格が実際に会場で請求される金額と異なっています。先週末、アプリではクラフトビール800円と表示されていましたが、バーでは1200円請求されました。"
60,519,2025-01-06 13:37:39.000,"来月のジャズフェスティバルのチケットを姉に譲渡しようとしています。残念ながら仕事の都合で参加できなくなりました。過去30分間ウェブサイトでこれを試みましたが、「チケット譲渡」ボタンをクリックするたびにエラーメッセージが表示されます（スクリーンショット添付）。これらは安くなかった（週末パスに3万円支払いました）ので、本当に納得いきません！"
103,967,2025-01-06 13:59:30.000,"ただ、早期割引チケットが数秒で売り切れてしまうのは残念です。他の会場のように待ち行列システムを導入すれば、私のような常連にとってより公平になるのではないでしょうか？"
